tweet_id,favorites,retweets
845677943972139009,24908,4729
845397057150107648,7546,1777
845306882940190720,23090,5320
845098359547420673,0,7539
844979544864018432,13497,2521
844973813909606400,14918,3146
844580511645339650,16321,3081
844223788422217728,13527,2169
843981021012017153,15049,2910
843856843873095681,21263,4567
843604394117681152,16732,2710
843235543001513987,21336,5959
842846295480000512,15164,3597
842765311967449089,6674,1266
842535590457499648,17972,3472
842163532590374912,24248,5729
842115215311396866,13876,3005
841833993020538882,0,14915
841680585030541313,25552,7744
841439858740625411,12554,3658
841320156043304961,19670,5458
841314665196081154,15739,4613
841077006473256960,22720,5267
840761248237133825,0,1753
840728873075638272,0,15997
840698636975636481,174,2
840696689258311684,12217,966
840632337062862849,8944,1753
840370681858686976,16371,4507
840268004936019968,19160,5682
839990271299457024,13351,2259
839549326359670784,27351,7692
839290600511926273,0,143
839239871831150596,26997,6488
838952994649550848,19575,3983
838921590096166913,11106,2050
838916489579200512,0,35
838831947270979586,0,10944
838561493054533637,10910,1328
838476387338051585,22426,4755
838201503651401729,0,10005
838150277551247360,1668,331
838085839343206401,138,1
838083903487373313,17563,3126
837820167694528512,34003,7824
837482249356513284,3840,442
837471256429613056,12769,2266
837110210464448512,16029,2357
836989968035819520,12748,2289
836753516572119041,19285,4630
836677758902222849,12586,2220
836648853927522308,0,555
836397794269200385,0,27423
836380477523124226,14734,2985
836260088725786625,21283,4298
836001077879255040,19064,4245
835685285446955009,0,8116
835574547218894849,17773,3616
835536468978302976,0,1695
835309094223372289,0,20898
835297930240217089,16464,3011
835264098648616962,7733,1695
835246439529840640,2099,73
835172783151792128,26158,5759
835152434251116546,22389,3016
834931633769889797,10800,1645
834786237630337024,21358,5491
834574053763584002,13649,2538
834477809192075265,0,10642
834458053273591808,9595,1684
834209720923721728,20584,4754
834167344700198914,15831,3657
834089966724603904,10056,2139
834086379323871233,13076,2212
833863086058651648,13454,2413
833826103416520705,18079,3777
833732339549220864,0,221
833722901757046785,20829,3220
833479644947025920,14865,2056
833124694597443584,20227,4849
832998151111966721,13259,2205
832769181346996225,0,39
832757312314028032,16888,3627
832682457690300417,11897,2920
832645525019123713,2929,532
832636094638288896,15870,2790
832397543355072512,11985,2223
832369877331693569,17213,3198
832273440279240704,11371,2344
832215909146226688,0,6220
832215726631055365,0,9348
832088576586297345,62,2
832040443403784192,0,9649
832032802820481025,17908,4670
831939777352105988,24042,6152
831926988323639298,336,34
831911600680497154,27672,6528
831670449226514432,10463,1824
831650051525054464,7154,1934
831552930092285952,8999,2322
831322785565769729,9287,1556
831315979191906304,6551,1130
831309418084069378,11786,2474
831262627380748289,11936,2055
830956169170665475,7986,1506
830583320585068544,67029,16837
830173239259324417,0,5705
830097400375152640,9821,2960
829878982036299777,0,5036
829861396166877184,12273,1955
829501995190984704,31865,10642
829449946868879360,10502,2033
829141528400556032,24482,7376
829011960981237760,53317,16368
828801551087042563,0,3437
828770345708580865,25663,5893
828708714936930305,36647,11229
828650029636317184,9539,1357
828409743546925057,6369,1171
828408677031882754,7704,1300
828381636999917570,12629,2227
828376505180889089,7408,1077
828372645993398273,12609,2956
828361771580813312,2202,173
828046555563323392,11788,2887
828011680017821696,10396,2162
827933404142436356,20193,5284
827653905312006145,15570,3034
827600520311402496,7485,951
827324948884643840,15932,3068
827199976799354881,10618,2232
826958653328592898,21671,5036
826848821049180160,36542,10235
826615380357632002,0,4012
826598799820865537,5140,253
826598365270007810,10103,2361
826476773533745153,18502,4223
826240494070030336,13376,2626
826204788643753985,4904,930
826115272272650244,15740,3153
825876512159186944,10547,1887
825829644528148480,12816,2508
825535076884762624,57171,17665
825147591692263424,18423,4587
825120256414846976,0,1269
825026590719483904,6350,1269
824796380199809024,0,5539
824775126675836928,15012,3547
824663926340194305,10588,1788
824325613288833024,11914,10600
824297048279236611,15159,3900
824025158776213504,4864,603
823939628516474880,10697,2732
823719002937630720,0,11299
823699002998870016,14088,2546
823581115634085888,13125,2645
823333489516937216,707,25
823322678127919110,15851,4073
823269594223824897,0,9979
822975315408461824,17443,3481
822872901745569793,132594,43632
822859134160621569,13375,2305
822647212903690241,0,6474
822610361945911296,14930,2990
822489057087389700,18302,6474
822462944365645825,28264,14461
822244816520155136,35239,9979
822163064745328640,0,4829
